run sh: `/home/mounir.ourekouch/.conda/envs/re_ssm/bin/python /home/mounir.ourekouch/.conda/envs/re_ssm/lib/python3.10/site-packages/swift/cli/sft.py --model Qwen/Qwen2.5-7B-Instruct --train_type lora --dataset re_data/1_PROMPT/TACRED/TACRED_data_train.json --val_dataset re_data/1_PROMPT/TACRED/TACRED_data_dev.json --torch_dtype bfloat16 --num_train_epochs 2 --per_device_train_batch_size 4 --per_device_eval_batch_size 4 --learning_rate 1e-4 --lora_rank 8 --lora_alpha 32 --target_modules all-linear --gradient_accumulation_steps 16 --eval_strategy steps --eval_steps 50 --save_steps 50 --save_total_limit 5 --logging_steps 5 --max_length 2048 --output_dir output --system You are an AI assistant specialized in identifying relationships between named entities in sentences. --warmup_ratio 0.05 --dataloader_num_workers 4 --model_author swift --model_name swift-robot`
Downloading Model from https://www.modelscope.cn to directory: /home/mounir.ourekouch/.cache/modelscope/hub/models/Qwen/Qwen2.5-7B-Instruct
Downloading Model from https://www.modelscope.cn to directory: /home/mounir.ourekouch/.cache/modelscope/hub/models/Qwen/Qwen2.5-7B-Instruct
{'loss': 12.57966042, 'grad_norm': 41.4846611, 'learning_rate': 9.3e-07, 'token_acc': 0.33333333, 'epoch': 0.0, 'global_step/max_steps': '1/2128', 'percentage': '0.05%', 'elapsed_time': '5s', 'remaining_time': '3h 17m 1s', 'memory(GiB)': 17.2, 'train_speed(iter/s)': 0.179922}
{'eval_loss': 0.15344618, 'eval_runtime': 502.4606, 'eval_samples_per_second': 45.04, 'eval_steps_per_second': 11.261, 'eval_token_acc': 0.94613583, 'epoch': 0.05, 'global_step/max_steps': '50/2128', 'percentage': '2.35%', 'elapsed_time': '12m 30s', 'remaining_time': '8h 40m 9s', 'memory(GiB)': 23.22, 'train_speed(iter/s)': 0.066583}
{'loss': 0.11690845, 'grad_norm': 1.095384, 'learning_rate': 5.14e-05, 'token_acc': 0.95833333, 'epoch': 0.05, 'global_step/max_steps': '55/2128', 'percentage': '2.58%', 'elapsed_time': '12m 56s', 'remaining_time': '8h 7m 58s', 'memory(GiB)': 23.22, 'train_speed(iter/s)': 0.070802}
{'loss': 0.13320733, 'grad_norm': 2.07091498, 'learning_rate': 5.607e-05, 'token_acc': 0.953125, 'epoch': 0.06, 'global_step/max_steps': '60/2128', 'percentage': '2.82%', 'elapsed_time': '13m 22s', 'remaining_time': '7h 40m 52s', 'memory(GiB)': 23.22, 'train_speed(iter/s)': 0.074785}
{'loss': 0.12252054, 'grad_norm': 0.66266322, 'learning_rate': 6.075e-05, 'token_acc': 0.94791667, 'epoch': 0.06, 'global_step/max_steps': '65/2128', 'percentage': '3.05%', 'elapsed_time': '13m 46s', 'remaining_time': '7h 17m 18s', 'memory(GiB)': 23.22, 'train_speed(iter/s)': 0.078626}
{'loss': 0.15219657, 'grad_norm': 0.83409595, 'learning_rate': 6.542e-05, 'token_acc': 0.94166667, 'epoch': 0.07, 'global_step/max_steps': '70/2128', 'percentage': '3.29%', 'elapsed_time': '14m 11s', 'remaining_time': '6h 57m 3s', 'memory(GiB)': 23.22, 'train_speed(iter/s)': 0.082243}
{'loss': 0.11712559, 'grad_norm': 0.51827693, 'learning_rate': 7.009e-05, 'token_acc': 0.96041667, 'epoch': 0.07, 'global_step/max_steps': '75/2128', 'percentage': '3.52%', 'elapsed_time': '14m 35s', 'remaining_time': '6h 39m 26s', 'memory(GiB)': 23.22, 'train_speed(iter/s)': 0.085661}
{'loss': 0.0857115, 'grad_norm': 0.53756702, 'learning_rate': 7.477e-05, 'token_acc': 0.96770833, 'epoch': 0.08, 'global_step/max_steps': '80/2128', 'percentage': '3.76%', 'elapsed_time': '15m 0s', 'remaining_time': '6h 24m 24s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.088793}
{'loss': 0.1317793, 'grad_norm': 0.5885725, 'learning_rate': 7.944e-05, 'token_acc': 0.959375, 'epoch': 0.08, 'global_step/max_steps': '85/2128', 'percentage': '3.99%', 'elapsed_time': '15m 25s', 'remaining_time': '6h 10m 50s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.09182}
{'loss': 0.13951612, 'grad_norm': 0.93753594, 'learning_rate': 8.411e-05, 'token_acc': 0.94791667, 'epoch': 0.08, 'global_step/max_steps': '90/2128', 'percentage': '4.23%', 'elapsed_time': '15m 50s', 'remaining_time': '5h 58m 42s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.09469}
{'loss': 0.1249679, 'grad_norm': 0.74824655, 'learning_rate': 8.879e-05, 'token_acc': 0.95520833, 'epoch': 0.09, 'global_step/max_steps': '95/2128', 'percentage': '4.46%', 'elapsed_time': '16m 15s', 'remaining_time': '5h 47m 51s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.097407}
{'loss': 0.09129455, 'grad_norm': 0.50516164, 'learning_rate': 9.346e-05, 'token_acc': 0.96354167, 'epoch': 0.09, 'global_step/max_steps': '100/2128', 'percentage': '4.70%', 'elapsed_time': '16m 39s', 'remaining_time': '5h 37m 49s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.100054}
{'eval_loss': 0.12107679, 'eval_runtime': 501.2132, 'eval_samples_per_second': 45.152, 'eval_steps_per_second': 11.289, 'eval_token_acc': 0.95525312, 'epoch': 0.09, 'global_step/max_steps': '100/2128', 'percentage': '4.70%', 'elapsed_time': '25m 0s', 'remaining_time': '8h 27m 13s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.066637}
{'loss': 0.12219355, 'grad_norm': 0.72522461, 'learning_rate': 9.813e-05, 'token_acc': 0.95729167, 'epoch': 0.1, 'global_step/max_steps': '105/2128', 'percentage': '4.93%', 'elapsed_time': '25m 26s', 'remaining_time': '8h 10m 6s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.068793}
{'loss': 0.08571362, 'grad_norm': 0.68544012, 'learning_rate': 0.0001, 'token_acc': 0.97083333, 'epoch': 0.1, 'global_step/max_steps': '110/2128', 'percentage': '5.17%', 'elapsed_time': '25m 51s', 'remaining_time': '7h 54m 19s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.070907}
{'loss': 0.08483155, 'grad_norm': 0.537714, 'learning_rate': 0.0001, 'token_acc': 0.965625, 'epoch': 0.11, 'global_step/max_steps': '115/2128', 'percentage': '5.40%', 'elapsed_time': '26m 16s', 'remaining_time': '7h 39m 48s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.072964}
{'loss': 0.12123998, 'grad_norm': 0.70135403, 'learning_rate': 9.999e-05, 'token_acc': 0.95416667, 'epoch': 0.11, 'global_step/max_steps': '120/2128', 'percentage': '5.64%', 'elapsed_time': '26m 41s', 'remaining_time': '7h 26m 31s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.074948}
{'loss': 0.11105796, 'grad_norm': 0.43468368, 'learning_rate': 9.998e-05, 'token_acc': 0.95833333, 'epoch': 0.12, 'global_step/max_steps': '125/2128', 'percentage': '5.87%', 'elapsed_time': '27m 6s', 'remaining_time': '7h 14m 23s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.076851}
{'loss': 0.08871819, 'grad_norm': 0.68410546, 'learning_rate': 9.997e-05, 'token_acc': 0.965625, 'epoch': 0.12, 'global_step/max_steps': '130/2128', 'percentage': '6.11%', 'elapsed_time': '27m 30s', 'remaining_time': '7h 2m 50s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.078751}
{'loss': 0.09385845, 'grad_norm': 0.47731414, 'learning_rate': 9.995e-05, 'token_acc': 0.96770833, 'epoch': 0.13, 'global_step/max_steps': '135/2128', 'percentage': '6.34%', 'elapsed_time': '27m 55s', 'remaining_time': '6h 52m 11s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.080584}
{'loss': 0.12341536, 'grad_norm': 0.88316596, 'learning_rate': 9.993e-05, 'token_acc': 0.95729167, 'epoch': 0.13, 'global_step/max_steps': '140/2128', 'percentage': '6.58%', 'elapsed_time': '28m 20s', 'remaining_time': '6h 42m 23s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.082341}
{'loss': 0.12910544, 'grad_norm': 0.62132955, 'learning_rate': 9.991e-05, 'token_acc': 0.95416667, 'epoch': 0.14, 'global_step/max_steps': '145/2128', 'percentage': '6.81%', 'elapsed_time': '28m 44s', 'remaining_time': '6h 33m 9s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.084063}
{'loss': 0.07785219, 'grad_norm': 0.52075064, 'learning_rate': 9.989e-05, 'token_acc': 0.96770833, 'epoch': 0.14, 'global_step/max_steps': '150/2128', 'percentage': '7.05%', 'elapsed_time': '29m 9s', 'remaining_time': '6h 24m 28s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.085744}
{'eval_loss': 0.11957184, 'eval_runtime': 506.3246, 'eval_samples_per_second': 44.697, 'eval_steps_per_second': 11.175, 'eval_token_acc': 0.95925942, 'epoch': 0.14, 'global_step/max_steps': '150/2128', 'percentage': '7.05%', 'elapsed_time': '37m 35s', 'remaining_time': '8h 15m 45s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.066497}
{'loss': 0.07937914, 'grad_norm': 0.80975014, 'learning_rate': 9.986e-05, 'token_acc': 0.96666667, 'epoch': 0.15, 'global_step/max_steps': '155/2128', 'percentage': '7.28%', 'elapsed_time': '38m 2s', 'remaining_time': '8h 4m 9s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.067919}
{'loss': 0.08068426, 'grad_norm': 0.43343917, 'learning_rate': 9.983e-05, 'token_acc': 0.97291667, 'epoch': 0.15, 'global_step/max_steps': '160/2128', 'percentage': '7.52%', 'elapsed_time': '38m 27s', 'remaining_time': '7h 53m 1s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.06934}
{'loss': 0.13142183, 'grad_norm': 0.78030902, 'learning_rate': 9.98e-05, 'token_acc': 0.95416667, 'epoch': 0.16, 'global_step/max_steps': '165/2128', 'percentage': '7.75%', 'elapsed_time': '38m 52s', 'remaining_time': '7h 42m 32s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.070732}
{'loss': 0.09425388, 'grad_norm': 0.37639076, 'learning_rate': 9.976e-05, 'token_acc': 0.965625, 'epoch': 0.16, 'global_step/max_steps': '170/2128', 'percentage': '7.99%', 'elapsed_time': '39m 17s', 'remaining_time': '7h 32m 36s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.0721}
{'loss': 0.09344898, 'grad_norm': 0.28212824, 'learning_rate': 9.972e-05, 'token_acc': 0.96979167, 'epoch': 0.16, 'global_step/max_steps': '175/2128', 'percentage': '8.22%', 'elapsed_time': '39m 42s', 'remaining_time': '7h 23m 10s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.073447}
{'loss': 0.09986048, 'grad_norm': 0.57883894, 'learning_rate': 9.968e-05, 'token_acc': 0.96666667, 'epoch': 0.17, 'global_step/max_steps': '180/2128', 'percentage': '8.46%', 'elapsed_time': '40m 9s', 'remaining_time': '7h 14m 30s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.074719}
{'loss': 0.11762626, 'grad_norm': 0.55845731, 'learning_rate': 9.963e-05, 'token_acc': 0.96041667, 'epoch': 0.17, 'global_step/max_steps': '185/2128', 'percentage': '8.69%', 'elapsed_time': '40m 34s', 'remaining_time': '7h 6m 9s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.075988}
{'loss': 0.11109328, 'grad_norm': 0.4152247, 'learning_rate': 9.958e-05, 'token_acc': 0.95833333, 'epoch': 0.18, 'global_step/max_steps': '190/2128', 'percentage': '8.93%', 'elapsed_time': '41m 0s', 'remaining_time': '6h 58m 13s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.07723}
{'loss': 0.07540978, 'grad_norm': 0.42816538, 'learning_rate': 9.953e-05, 'token_acc': 0.97604167, 'epoch': 0.18, 'global_step/max_steps': '195/2128', 'percentage': '9.16%', 'elapsed_time': '41m 25s', 'remaining_time': '6h 50m 36s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.07846}
{'loss': 0.08467114, 'grad_norm': 0.77815562, 'learning_rate': 9.948e-05, 'token_acc': 0.96875, 'epoch': 0.19, 'global_step/max_steps': '200/2128', 'percentage': '9.40%', 'elapsed_time': '41m 50s', 'remaining_time': '6h 43m 24s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.079656}
{'eval_loss': 0.10974432, 'eval_runtime': 507.1773, 'eval_samples_per_second': 44.621, 'eval_steps_per_second': 11.156, 'eval_token_acc': 0.96080597, 'epoch': 0.19, 'global_step/max_steps': '200/2128', 'percentage': '9.40%', 'elapsed_time': '50m 17s', 'remaining_time': '8h 4m 53s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.066269}
{'loss': 0.08030586, 'grad_norm': 0.54806864, 'learning_rate': 9.942e-05, 'token_acc': 0.96979167, 'epoch': 0.19, 'global_step/max_steps': '205/2128', 'percentage': '9.63%', 'elapsed_time': '50m 44s', 'remaining_time': '7h 55m 55s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.067343}
{'loss': 0.10842229, 'grad_norm': 0.54027116, 'learning_rate': 9.936e-05, 'token_acc': 0.96666667, 'epoch': 0.2, 'global_step/max_steps': '210/2128', 'percentage': '9.87%', 'elapsed_time': '51m 10s', 'remaining_time': '7h 47m 20s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.068401}
{'loss': 0.0853018, 'grad_norm': 0.29467756, 'learning_rate': 9.93e-05, 'token_acc': 0.96875, 'epoch': 0.2, 'global_step/max_steps': '215/2128', 'percentage': '10.10%', 'elapsed_time': '51m 35s', 'remaining_time': '7h 39m 2s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.069456}
{'loss': 0.11359339, 'grad_norm': 0.31113547, 'learning_rate': 9.923e-05, 'token_acc': 0.96041667, 'epoch': 0.21, 'global_step/max_steps': '220/2128', 'percentage': '10.34%', 'elapsed_time': '52m 1s', 'remaining_time': '7h 31m 7s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.07049}
{'loss': 0.08789396, 'grad_norm': 0.37348893, 'learning_rate': 9.916e-05, 'token_acc': 0.97083333, 'epoch': 0.21, 'global_step/max_steps': '225/2128', 'percentage': '10.57%', 'elapsed_time': '52m 26s', 'remaining_time': '7h 23m 30s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.071513}
{'loss': 0.09590811, 'grad_norm': 0.30704674, 'learning_rate': 9.909e-05, 'token_acc': 0.96458333, 'epoch': 0.22, 'global_step/max_steps': '230/2128', 'percentage': '10.81%', 'elapsed_time': '52m 52s', 'remaining_time': '7h 16m 16s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.072506}
{'loss': 0.10818356, 'grad_norm': 0.40967867, 'learning_rate': 9.901e-05, 'token_acc': 0.965625, 'epoch': 0.22, 'global_step/max_steps': '235/2128', 'percentage': '11.04%', 'elapsed_time': '53m 17s', 'remaining_time': '7h 9m 14s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.073502}
{'loss': 0.09557624, 'grad_norm': 0.33414581, 'learning_rate': 9.894e-05, 'token_acc': 0.96354167, 'epoch': 0.23, 'global_step/max_steps': '240/2128', 'percentage': '11.28%', 'elapsed_time': '53m 42s', 'remaining_time': '7h 2m 27s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.074485}
{'loss': 0.089437, 'grad_norm': 0.41413054, 'learning_rate': 9.885e-05, 'token_acc': 0.96354167, 'epoch': 0.23, 'global_step/max_steps': '245/2128', 'percentage': '11.51%', 'elapsed_time': '54m 8s', 'remaining_time': '6h 56m 4s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.075426}
{'loss': 0.08308912, 'grad_norm': 0.46123624, 'learning_rate': 9.877e-05, 'token_acc': 0.96770833, 'epoch': 0.24, 'global_step/max_steps': '250/2128', 'percentage': '11.75%', 'elapsed_time': '54m 33s', 'remaining_time': '6h 49m 47s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.076381}
{'eval_loss': 0.10906962, 'eval_runtime': 509.4987, 'eval_samples_per_second': 44.418, 'eval_steps_per_second': 11.105, 'eval_token_acc': 0.96029046, 'epoch': 0.24, 'global_step/max_steps': '250/2128', 'percentage': '11.75%', 'elapsed_time': '1h 3m 2s', 'remaining_time': '7h 53m 34s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.066092}
{'loss': 0.08100999, 'grad_norm': 0.38377422, 'learning_rate': 9.868e-05, 'token_acc': 0.97291667, 'epoch': 0.24, 'global_step/max_steps': '255/2128', 'percentage': '11.98%', 'elapsed_time': '1h 3m 28s', 'remaining_time': '7h 46m 13s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.066955}
{'loss': 0.09338695, 'grad_norm': 0.42514357, 'learning_rate': 9.859e-05, 'token_acc': 0.96145833, 'epoch': 0.24, 'global_step/max_steps': '260/2128', 'percentage': '12.22%', 'elapsed_time': '1h 3m 54s', 'remaining_time': '7h 39m 6s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.067811}
{'loss': 0.0956934, 'grad_norm': 0.42661393, 'learning_rate': 9.85e-05, 'token_acc': 0.96666667, 'epoch': 0.25, 'global_step/max_steps': '265/2128', 'percentage': '12.45%', 'elapsed_time': '1h 4m 19s', 'remaining_time': '7h 32m 16s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.068654}
{'loss': 0.09657721, 'grad_norm': 0.51356179, 'learning_rate': 9.84e-05, 'token_acc': 0.96354167, 'epoch': 0.25, 'global_step/max_steps': '270/2128', 'percentage': '12.69%', 'elapsed_time': '1h 4m 45s', 'remaining_time': '7h 25m 40s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.069482}
{'loss': 0.09196129, 'grad_norm': 0.3253386, 'learning_rate': 9.83e-05, 'token_acc': 0.96875, 'epoch': 0.26, 'global_step/max_steps': '275/2128', 'percentage': '12.92%', 'elapsed_time': '1h 5m 11s', 'remaining_time': '7h 19m 17s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.070302}
{'loss': 0.07964442, 'grad_norm': 0.46024334, 'learning_rate': 9.82e-05, 'token_acc': 0.965625, 'epoch': 0.26, 'global_step/max_steps': '280/2128', 'percentage': '13.16%', 'elapsed_time': '1h 5m 36s', 'remaining_time': '7h 13m 3s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.071121}
{'loss': 0.11122077, 'grad_norm': 0.50846559, 'learning_rate': 9.81e-05, 'token_acc': 0.96145833, 'epoch': 0.27, 'global_step/max_steps': '285/2128', 'percentage': '13.39%', 'elapsed_time': '1h 6m 2s', 'remaining_time': '7h 7m 3s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.071927}
{'loss': 0.07859073, 'grad_norm': 0.41524604, 'learning_rate': 9.799e-05, 'token_acc': 0.96875, 'epoch': 0.27, 'global_step/max_steps': '290/2128', 'percentage': '13.63%', 'elapsed_time': '1h 6m 27s', 'remaining_time': '7h 1m 10s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.072732}
{'loss': 0.09813371, 'grad_norm': 0.50807154, 'learning_rate': 9.788e-05, 'token_acc': 0.965625, 'epoch': 0.28, 'global_step/max_steps': '295/2128', 'percentage': '13.86%', 'elapsed_time': '1h 6m 52s', 'remaining_time': '6h 55m 33s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.073517}
{'loss': 0.09100679, 'grad_norm': 0.28128394, 'learning_rate': 9.777e-05, 'token_acc': 0.9625, 'epoch': 0.28, 'global_step/max_steps': '300/2128', 'percentage': '14.10%', 'elapsed_time': '1h 7m 18s', 'remaining_time': '6h 50m 7s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.074288}
{'eval_loss': 0.10811477, 'eval_runtime': 505.2977, 'eval_samples_per_second': 44.787, 'eval_steps_per_second': 11.197, 'eval_token_acc': 0.95946563, 'epoch': 0.28, 'global_step/max_steps': '300/2128', 'percentage': '14.10%', 'elapsed_time': '1h 15m 43s', 'remaining_time': '7h 41m 26s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.066026}
{'loss': 0.08880823, 'grad_norm': 0.46431655, 'learning_rate': 9.765e-05, 'token_acc': 0.97083333, 'epoch': 0.29, 'global_step/max_steps': '305/2128', 'percentage': '14.33%', 'elapsed_time': '1h 16m 10s', 'remaining_time': '7h 35m 15s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.066739}
{'loss': 0.09535009, 'grad_norm': 0.33807492, 'learning_rate': 9.753e-05, 'token_acc': 0.96458333, 'epoch': 0.29, 'global_step/max_steps': '310/2128', 'percentage': '14.57%', 'elapsed_time': '1h 16m 35s', 'remaining_time': '7h 29m 10s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.067458}
{'loss': 0.06937737, 'grad_norm': 0.2738367, 'learning_rate': 9.741e-05, 'token_acc': 0.97708333, 'epoch': 0.3, 'global_step/max_steps': '315/2128', 'percentage': '14.80%', 'elapsed_time': '1h 17m 0s', 'remaining_time': '7h 23m 13s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.068173}
{'loss': 0.08994874, 'grad_norm': 0.32442161, 'learning_rate': 9.728e-05, 'token_acc': 0.975, 'epoch': 0.3, 'global_step/max_steps': '320/2128', 'percentage': '15.04%', 'elapsed_time': '1h 17m 25s', 'remaining_time': '7h 17m 29s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.068878}
{'loss': 0.10680974, 'grad_norm': 0.64590764, 'learning_rate': 9.716e-05, 'token_acc': 0.9625, 'epoch': 0.31, 'global_step/max_steps': '325/2128', 'percentage': '15.27%', 'elapsed_time': '1h 17m 50s', 'remaining_time': '7h 11m 51s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.069584}
{'loss': 0.08654606, 'grad_norm': 0.41925469, 'learning_rate': 9.703e-05, 'token_acc': 0.96875, 'epoch': 0.31, 'global_step/max_steps': '330/2128', 'percentage': '15.51%', 'elapsed_time': '1h 18m 16s', 'remaining_time': '7h 6m 26s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.070271}
{'loss': 0.12611355, 'grad_norm': 0.3873423, 'learning_rate': 9.689e-05, 'token_acc': 0.946875, 'epoch': 0.32, 'global_step/max_steps': '335/2128', 'percentage': '15.74%', 'elapsed_time': '1h 18m 42s', 'remaining_time': '7h 1m 13s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.070944}
{'loss': 0.11106282, 'grad_norm': 0.34975091, 'learning_rate': 9.676e-05, 'token_acc': 0.96666667, 'epoch': 0.32, 'global_step/max_steps': '340/2128', 'percentage': '15.98%', 'elapsed_time': '1h 19m 7s', 'remaining_time': '6h 56m 6s', 'memory(GiB)': 27.43, 'train_speed(iter/s)': 0.071615}
